First Name,Last Name,Pos
Jim,Seminoff,G-F
George,Senesky,PG
Paul,Seymour,G-F
Carl,Shaeffer,F-G
Howie,Shannon,G-F
Charley,Shipp,G-F
Connie,Simmons,C-F
Belus,Smawley,SG
Jack,Smiley,F-G
Jack,Smiley,F-G
Jack,Smiley,F-G
Chips,Sobek,G-F
Odie,Spears,SF
Art,Spector,F
Ed,Stanczak,F
Gene,Stump,F-G
Gene,Stump,F-G
Gene,Stump,F-G
Mike,Todorovich,F-C
Mike,Todorovich,F-C
Mike,Todorovich,F-C
Jack,Toomay,C-F
Bob,Tough,G-F
Bob,Tough,G-F
Bob,Tough,G-F
Blackie,Towery,F-C
Dick,Triptow,G-F
Butch,Van,G-F
Gene,Vance,G-F
Ernie,Vandeweghe,F-G
Floyd,Volker,F-C
Floyd,Volker,F-C
Floyd,Volker,F-C
Whitey,Von,G-F
Whitey,Von,G-F
Whitey,Von,G-F
Clint,Wager,C-F
Danny,Wagner,G
Brady,Walker,PF
Paul,Walther,SG
Paul,Walther,SG
Paul,Walther,SG
Bobby,Wanzer*,G
Murray,Wier,G
D.C.,Wilcutt,G
Bob,Wood,G
Max,Zaslofsky,SG
,,
Paul,Arizin*,SF
Curly,Armstrong,G-F
Cliff,Barker,SG
Leo,Barnhorst,SF
Ed,Bartels,F
Ed,Beach,F
Ed,Beach,F
Ed,Beach,F
Ralph,Beard,G
Leon,Blevins,G
Nelson,Bobb,PG
Ike,Borsavage,C-F
Vince,Boryla,SF
Harry,Boykoff,C
Harry,Boykoff,C
Harry,Boykoff,C
Frankie,Brian,G
Walt,Budko,PF
Art,Burris,SF
Tommy,Byrnes,F-G
Tommy,Byrnes,F-G
Tommy,Byrnes,F-G
Tommy,Byrnes,F-G
Gerry,Calabrese,SG
Bill,Calhoun,SG
Don,Carlson,G-F
Bob,Carpenter,F-C
Bob,Carpenter,F-C
Bob,Carpenter,F-C
Al,Cervi*,PG
Leroy,Chollet,F
Cal,Christensen,SF
Nat,Clifton*,PF
Bill,Closs,SF
Jack,Coleman,PF
Chuck,Cooper,F
Ray,Corley,G
Ray,Corley,G
Ray,Corley,G
Bob,Cousy*,PG
Bob,Davies*,PG
Hank,DeZonie,C-F
Joe,Dolhon,G
Bob,Donham,SG
Andy,Duncan,F-C
Dike,Eddleman,SF
Ray,Ellefson,C
Arnie,Ferrin,F-G
Larry,Foust,C
